y=313, rel_y=220, left=293, right=728, width=436
y=314, rel_y=221, left=292, right=728, width=437
y=315, rel_y=222, left=293, right=728, width=436
y=316, rel_y=223, left=295, right=728, width=434
y=317, rel_y=224, left=295, right=728, width=434
y=318, rel_y=225, left=273, right=728, width=456
y=319, rel_y=226, left=273, right=728, width=456
y=320, rel_y=227, left=273, right=728, width=456
y=321, rel_y=228, left=273, right=728, width=456
y=322, rel_y=229, left=273, right=728, width=456
y=323, rel_y=230, left=273, right=728, width=456
y=324, rel_y=231, left=273, right=728, width=456
y=325, rel_y=232, left=273, right=728, width=456
y=326, rel_y=233, left=273, right=728, width=456
y=327, rel_y=234, left=272, right=728, width=457
y=328, rel_y=235, left=273, right=728, width=456
y=329, rel_y=236, left=273, right=750, width=478
y=330, rel_y=237, left=273, right=750, width=478
y=331, rel_y=238, left=273, right=751, width=479
y=332, rel_y=239, left=273, right=752, width=480
y=333, rel_y=240, left=273, right=751, width=479
y=334, rel_y=241, left=273, right=751, width=479
y=335, rel_y=242, left=273, right=751, width=479
y=336, rel_y=243, left=273, right=750, width=478
y=337, rel_y=244, left=273, right=750, width=478
y=338, rel_y=245, left=273, right=750, width=478
y=339, rel_y=246, left=273, right=750, width=478
y=340, rel_y=247, left=273, right=750, width=478
y=341, rel_y=248, left=273, right=750, width=478
y=342, rel_y=249, left=273, right=750, width=478
y=343, rel_y=250, left=273, right=750, width=478
y=344, rel_y=251, left=273, right=750, width=478
y=345, rel_y=252, left=273, right=750, width=478
y=346, rel_y=253, left=273, right=750, width=478
y=347, rel_y=254, left=273, right=750, width=478
y=348, rel_y=255, left=273, right=750, width=478
y=349, rel_y=256, left=273, right=750, width=478
y=350, rel_y=257, left=273, right=750, width=478
y=351, rel_y=258, left=273, right=750, width=478
y=352, rel_y=259, left=273, right=750, width=478
y=353, rel_y=260, left=273, right=750, width=478
y=354, rel_y=261, left=273, right=750, width=478
y=355, rel_y=262, left=273, right=750, width=478
y=356, rel_y=263, left=273, right=750, width=478
y=357, rel_y=264, left=273, right=750, width=478
y=358, rel_y=265, left=273, right=750, width=478
y=359, rel_y=266, left=273, right=750, width=478
y=360, rel_y=267, left=273, right=750, width=478
y=361, rel_y=268, left=273, right=750, width=478
y=362, rel_y=269, left=273, right=750, width=478
y=363, rel_y=270, left=273, right=750, width=478
y=364, rel_y=271, left=273, right=750, width=478
y=365, rel_y=272, left=273, right=750, width=478
y=366, rel_y=273, left=273, right=750, width=478
y=367, rel_y=274, left=273, right=750, width=478
y=368, rel_y=275, left=273, right=750, width=478
y=369, rel_y=276, left=273, right=750, width=478
y=370, rel_y=277, left=273, right=750, width=478
y=371, rel_y=278, left=273, right=751, width=479
y=372, rel_y=279, left=273, right=750, width=478
y=373, rel_y=280, left=273, right=750, width=478
y=374, rel_y=281, left=273, right=750, width=478
y=375, rel_y=282, left=273, right=750, width=478
y=376, rel_y=283, left=273, right=750, width=478
y=377, rel_y=284, left=273, right=750, width=478
y=378, rel_y=285, left=273, right=750, width=478
y=379, rel_y=286, left=273, right=750, width=478
y=380, rel_y=287, left=273, right=750, width=478
y=381, rel_y=288, left=273, right=750, width=478
y=382, rel_y=289, left=273, right=750, width=478
y=383, rel_y=290, left=273, right=750, width=478
y=384, rel_y=291, left=273, right=750, width=478
y=385, rel_y=292, left=273, right=750, width=478
y=386, rel_y=293, left=273, right=750, width=478
y=387, rel_y=294, left=273, right=750, width=478
y=388, rel_y=295, left=273, right=750, width=478
y=389, rel_y=296, left=273, right=750, width=478
y=390, rel_y=297, left=273, right=750, width=478
y=391, rel_y=298, left=273, right=750, width=478
y=392, rel_y=299, left=273, right=750, width=478
y=393, rel_y=300, left=273, right=750, width=478
y=394, rel_y=301, left=273, right=750, width=478
y=395, rel_y=302, left=273, right=750, width=478
y=396, rel_y=303, left=273, right=750, width=478
y=397, rel_y=304, left=273, right=750, width=478
y=398, rel_y=305, left=273, right=750, width=478
y=399, rel_y=306, left=273, right=750, width=478
y=400, rel_y=307, left=273, right=750, width=478
y=401, rel_y=308, left=273, right=750, width=478
y=402, rel_y=309, left=273, right=750, width=478
y=403, rel_y=310, left=273, right=750, width=478
y=404, rel_y=311, left=273, right=750, width=478
y=405, rel_y=312, left=273, right=750, width=478
y=406, rel_y=313, left=273, right=750, width=478
y=407, rel_y=314, left=273, right=750, width=478
y=408, rel_y=315, left=273, right=750, width=478
y=409, rel_y=316, left=273, right=750, width=478
y=410, rel_y=317, left=273, right=750, width=478
y=411, rel_y=318, left=273, right=750, width=478
y=412, rel_y=319, left=273, right=750, width=478
y=413, rel_y=320, left=273, right=750, width=478
y=414, rel_y=321, left=273, right=750, width=478
y=415, rel_y=322, left=273, right=750, width=478
y=416, rel_y=323, left=273, right=750, width=478
y=417, rel_y=324, left=272, right=750, width=479
y=418, rel_y=325, left=273, right=750, width=478
y=419, rel_y=326, left=273, right=750, width=478
y=420, rel_y=327, left=273, right=750, width=478
y=421, rel_y=328, left=273, right=750, width=478
y=422, rel_y=329, left=273, right=750, width=478
y=423, rel_y=330, left=273, right=750, width=478
y=424, rel_y=331, left=273, right=750, width=478
y=425, rel_y=332, left=273, right=750, width=478
y=426, rel_y=333, left=273, right=750, width=478
y=427, rel_y=334, left=273, right=750, width=478
y=428, rel_y=335, left=273, right=750, width=478
y=429, rel_y=336, left=273, right=750, width=478
y=430, rel_y=337, left=273, right=750, width=478
y=431, rel_y=338, left=272, right=750, width=479
y=432, rel_y=339, left=272, right=750, width=479
y=433, rel_y=340, left=273, right=751, width=479
y=434, rel_y=341, left=273, right=750, width=478
y=435, rel_y=342, left=272, right=751, width=480
y=436, rel_y=343, left=273, right=750, width=478
y=437, rel_y=344, left=273, right=750, width=478
y=438, rel_y=345, left=272, right=751, width=480
y=439, rel_y=346, left=272, right=750, width=479
y=440, rel_y=347, left=272, right=750, width=479
y=441, rel_y=348, left=273, right=751, width=479
y=442, rel_y=349, left=272, right=751, width=480
y=443, rel_y=350, left=273, right=750, width=478
y=444, rel_y=351, left=273, right=751, width=479
y=445, rel_y=352, left=273, right=751, width=479
y=446, rel_y=353, left=273, right=750, width=478
y=447, rel_y=354, left=273, right=750, width=478
y=448, rel_y=355, left=273, right=750, width=478
y=449, rel_y=356, left=273, right=750, width=478
y=450, rel_y=357, left=272, right=751, width=480
y=451, rel_y=358, left=272, right=750, width=479
y=452, rel_y=359, left=272, right=750, width=479
y=453, rel_y=360, left=272, right=751, width=480
y=454, rel_y=361, left=272, right=751, width=480
y=455, rel_y=362, left=273, right=751, width=479
y=456, rel_y=363, left=273, right=750, width=478
y=457, rel_y=364, left=273, right=751, width=479
y=458, rel_y=365, left=273, right=751, width=479
y=459, rel_y=366, left=272, right=751, width=480
y=460, rel_y=367, left=273, right=751, width=479
y=461, rel_y=368, left=273, right=751, width=479
y=462, rel_y=369, left=273, right=751, width=479
y=463, rel_y=370, left=272, right=751, width=480
y=464, rel_y=371, left=273, right=751, width=479
y=465, rel_y=372, left=273, right=750, width=478
y=466, rel_y=373, left=273, right=751, width=479
y=467, rel_y=374, left=273, right=750, width=478
y=468, rel_y=375, left=148, right=751, width=604
y=469, rel_y=376, left=273, right=750, width=478
