y=369, rel_y=197, left=263, right=766, width=504
y=370, rel_y=198, left=264, right=766, width=503
y=371, rel_y=199, left=238, right=766, width=529
y=372, rel_y=200, left=256, right=766, width=511
y=373, rel_y=201, left=257, right=766, width=510
y=374, rel_y=202, left=252, right=766, width=515
y=375, rel_y=203, left=264, right=766, width=503
y=376, rel_y=204, left=256, right=766, width=511
y=377, rel_y=205, left=257, right=766, width=510
y=378, rel_y=206, left=257, right=790, width=534
y=379, rel_y=207, left=257, right=790, width=534
y=380, rel_y=208, left=257, right=789, width=533
y=381, rel_y=209, left=257, right=790, width=534
y=382, rel_y=210, left=249, right=766, width=518
y=383, rel_y=211, left=257, right=766, width=510
y=384, rel_y=212, left=257, right=784, width=528
y=385, rel_y=213, left=257, right=792, width=536
y=386, rel_y=214, left=257, right=766, width=510
y=387, rel_y=215, left=257, right=779, width=523
y=388, rel_y=216, left=249, right=766, width=518
y=389, rel_y=217, left=257, right=766, width=510
y=390, rel_y=218, left=257, right=766, width=510
y=391, rel_y=219, left=250, right=766, width=517
y=392, rel_y=220, left=250, right=766, width=517
y=393, rel_y=221, left=250, right=784, width=535
y=394, rel_y=222, left=251, right=766, width=516
y=395, rel_y=223, left=257, right=766, width=510
y=396, rel_y=224, left=257, right=766, width=510
y=397, rel_y=225, left=257, right=766, width=510
y=398, rel_y=226, left=256, right=773, width=518
y=399, rel_y=227, left=256, right=766, width=511
y=400, rel_y=228, left=247, right=766, width=520
y=401, rel_y=229, left=250, right=766, width=517
y=402, rel_y=230, left=246, right=789, width=544
y=403, rel_y=231, left=244, right=791, width=548
y=404, rel_y=232, left=264, right=789, width=526
y=405, rel_y=233, left=263, right=766, width=504
y=406, rel_y=234, left=257, right=766, width=510
y=407, rel_y=235, left=257, right=766, width=510
y=408, rel_y=236, left=257, right=766, width=510
y=409, rel_y=237, left=257, right=766, width=510
y=410, rel_y=238, left=231, right=766, width=536
y=411, rel_y=239, left=257, right=766, width=510
y=412, rel_y=240, left=257, right=766, width=510
y=413, rel_y=241, left=231, right=766, width=536
y=414, rel_y=242, left=257, right=766, width=510
y=415, rel_y=243, left=257, right=779, width=523
y=416, rel_y=244, left=238, right=766, width=529
y=417, rel_y=245, left=238, right=766, width=529
y=418, rel_y=246, left=230, right=766, width=537
y=419, rel_y=247, left=231, right=766, width=536
y=420, rel_y=248, left=242, right=766, width=525
y=421, rel_y=249, left=257, right=766, width=510
y=422, rel_y=250, left=241, right=766, width=526
y=423, rel_y=251, left=258, right=766, width=509
y=424, rel_y=252, left=258, right=766, width=509
y=425, rel_y=253, left=258, right=766, width=509
y=426, rel_y=254, left=263, right=766, width=504
y=427, rel_y=255, left=264, right=766, width=503
y=428, rel_y=256, left=241, right=766, width=526
y=429, rel_y=257, left=240, right=766, width=527
y=430, rel_y=258, left=239, right=766, width=528
y=431, rel_y=259, left=238, right=766, width=529
y=432, rel_y=260, left=243, right=766, width=524
y=433, rel_y=261, left=245, right=766, width=522
y=434, rel_y=262, left=231, right=766, width=536
y=435, rel_y=263, left=239, right=766, width=528
y=436, rel_y=264, left=257, right=766, width=510
y=437, rel_y=265, left=242, right=766, width=525
y=438, rel_y=266, left=257, right=766, width=510
y=439, rel_y=267, left=239, right=766, width=528
y=440, rel_y=268, left=238, right=766, width=529
y=441, rel_y=269, left=257, right=766, width=510
y=442, rel_y=270, left=257, right=766, width=510
y=443, rel_y=271, left=257, right=766, width=510
y=444, rel_y=272, left=257, right=766, width=510
y=445, rel_y=273, left=257, right=766, width=510
y=446, rel_y=274, left=241, right=766, width=526
y=447, rel_y=275, left=257, right=766, width=510
y=448, rel_y=276, left=257, right=766, width=510
y=449, rel_y=277, left=257, right=766, width=510
y=450, rel_y=278, left=257, right=766, width=510
y=451, rel_y=279, left=257, right=766, width=510
y=452, rel_y=280, left=257, right=766, width=510
y=453, rel_y=281, left=257, right=766, width=510
y=454, rel_y=282, left=257, right=766, width=510
y=455, rel_y=283, left=256, right=766, width=511
y=456, rel_y=284, left=257, right=766, width=510
y=457, rel_y=285, left=256, right=766, width=511
y=458, rel_y=286, left=257, right=785, width=529
y=459, rel_y=287, left=257, right=766, width=510
y=460, rel_y=288, left=257, right=766, width=510
y=461, rel_y=289, left=256, right=766, width=511
y=462, rel_y=290, left=263, right=766, width=504
y=463, rel_y=291, left=257, right=766, width=510
y=464, rel_y=292, left=257, right=773, width=517
y=465, rel_y=293, left=257, right=766, width=510
y=466, rel_y=294, left=257, right=766, width=510
y=467, rel_y=295, left=257, right=766, width=510
y=468, rel_y=296, left=257, right=766, width=510
y=469, rel_y=297, left=257, right=766, width=510
y=470, rel_y=298, left=257, right=766, width=510
y=471, rel_y=299, left=257, right=766, width=510
y=472, rel_y=300, left=257, right=786, width=530
y=473, rel_y=301, left=257, right=766, width=510
y=474, rel_y=302, left=257, right=766, width=510
y=475, rel_y=303, left=257, right=766, width=510
y=476, rel_y=304, left=257, right=793, width=537
y=477, rel_y=305, left=257, right=792, width=536
y=478, rel_y=306, left=257, right=766, width=510
y=479, rel_y=307, left=257, right=766, width=510
y=480, rel_y=308, left=257, right=783, width=527
y=481, rel_y=309, left=257, right=766, width=510
y=482, rel_y=310, left=258, right=790, width=533
y=483, rel_y=311, left=263, right=790, width=528
y=484, rel_y=312, left=264, right=766, width=503
y=485, rel_y=313, left=264, right=789, width=526
